Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
9,25,18,12,12.5,42.5,28.75,19.5,10.0,23.0,16.0,11.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.2361111111111111,0.1597222222222222,0.10833333333333334,0.5736111111111111,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,4,16,27,11.0,4.0,17.0,34.25,10.0,10.0,12.0,19.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.022222222222222223,0.09444444444444444,0.19027777777777777,0.3680555555555555,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,21,12,16,41.25,28.0,25.25,23.0,24.0,16.0,15.0,14.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.15555555555555556,0.14027777777777778,0.12777777777777777,0.6527777777777777,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,37,25,27,26.5,50.33,42.5,34.25,18.0,34.0,29.0,23.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.2796111111111111,0.2361111111111111,0.19027777777777777,0.8532222222222221,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,26,19,0,33.5,41.5,26.75,0.0,18.0,22.0,14.0,10.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.23055555555555557,0.1486111111111111,0.0,0.5652777777777778,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
19,16,3,34,26.75,23.0,3.0,45.75,13.0,11.0,10.0,23.0,180.0,180.0,180.0,180.0,0.1486111111111111,0.12777777777777777,0.016666666666666666,0.25416666666666665,0.5472222222222223,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,7,30,31,17.0,11.0,33.5,44.5,10.0,10.0,19.0,25.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.06111111111111111,0.18611111111111112,0.24722222222222223,0.5888888888888889,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,24,30,17,12.5,33.0,33.5,26.5,10.0,19.0,19.0,15.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.18333333333333332,0.18611111111111112,0.14722222222222223,0.5861111111111111,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,18,38,29.0,33.0,21.25,51.25,21.0,24.0,16.0,38.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.18333333333333332,0.11805555555555555,0.2847222222222222,0.7472222222222222,115,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,27,19,7,22.25,34.25,26.75,11.0,12.0,18.0,14.0,10.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.19027777777777777,0.1486111111111111,0.06111111111111111,0.5236111111111111,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,24,3,12,42.5,32.25,2.0,14.25,22.0,17.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.17916666666666667,0.011111111111111112,0.07916666666666666,0.5055555555555555,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,18,22,12,33.0,28.75,32.58,19.5,19.0,16.0,18.0,11.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.1597222222222222,0.181,0.10833333333333334,0.6323888888888889,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
2,4,21,27,2.75,4.0,28.0,31.83,10.0,10.0,16.0,18.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.022222222222222223,0.15555555555555556,0.17683333333333331,0.3698888888888889,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,24,38,0,21.25,38.0,51.25,0.0,12.0,22.0,30.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.2111111111111111,0.2847222222222222,0.0,0.6138888888888889,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,12,37,37,14.25,19.5,53.25,50.33,11.0,15.0,40.0,38.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.10833333333333334,0.29583333333333334,0.2796111111111111,0.7629444444444444,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,18,26,26,20.5,21.25,41.5,41.5,13.0,13.0,26.0,26.0,180.0,180.0,180.0,180.0,0.11388888888888889,0.11805555555555555,0.23055555555555557,0.23055555555555557,0.6930555555555555,95,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,0,27,30,66.75,0.0,31.83,43.75,44.0,10.0,21.0,29.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.0,0.17683333333333331,0.24305555555555555,0.7907222222222222,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,32,38,9,41.5,38.65,66.75,10.75,27.0,25.0,43.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.2147222222222222,0.37083333333333335,0.059722222222222225,0.8758333333333334,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,0,24,16,12.5,0.0,33.0,20.5,10.0,10.0,18.0,11.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.0,0.18333333333333332,0.11388888888888889,0.36666666666666664,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,14,17,16,38.0,16.25,26.5,23.0,21.0,10.0,14.0,12.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.09027777777777778,0.14722222222222223,0.12777777777777777,0.5763888888888888,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,38,26,26,44.5,66.75,41.5,41.5,24.0,36.0,22.0,22.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.37083333333333335,0.23055555555555557,0.23055555555555557,1.0791666666666668,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,12,25,31,14.25,19.5,37.25,44.5,10.0,12.0,24.0,28.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.10833333333333334,0.20694444444444443,0.24722222222222223,0.6416666666666666,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,38,42,24,28.75,51.25,65.0,33.0,17.0,30.0,38.0,19.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.2847222222222222,0.3611111111111111,0.18333333333333332,0.9888888888888889,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,17,4,22,38.65,30.5,4.0,32.58,22.0,18.0,10.0,19.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.16944444444444445,0.022222222222222223,0.181,0.5873888888888888,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
